Band Material,Band Notes,Bezel,COSC Certified,Case Back,Case Dimensions,Case Material,Case Shape,Case Thickness,Clasp,Color/Finish,Complications,Condition,Crystal,Dial Color,Edition,Lug Width,Movement,Screw-in Crown,Water Resistance,url
,,Uni-Directional Rotating,,,41mm ,Stainless Steel,Round,10.2mm,,,,New/Unworn,Scratch Resistant Sapphire,Blue,,,,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Quartz-41mm/L3.689.4.03.6.html
,,,,,36mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-36mm/L4.755.4.11.6.html
,,Fixed,,,40mm ,Stainless Steel,Round,5.95mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/100ft,https://www.prestigetime.com/Baume-Mercier-Classima-Quartz-40mm-10354.html
,,Fixed,,,39.5mm ,Stainless Steel,Round,9.2mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Maestro/2237-stc-20001.html
,,Fixed,,,42mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-42mm/01_733_7594_4031-07_5_20_12.html
,,Fixed,,,42mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-42mm/01_733_7594_4034-07_5_20_11.html
,,,,,33mm ,Stainless Steel,Round,5mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.4.11.6.html
,,,,,33mm ,Stainless Steel,Round,5mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.4.71.6.html
,,Fixed,,,37mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4031-07_5_18_10.html
,,Fixed,,,37mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4034-07_5_18_11.html
,,Uni-Directional Rotating,,,41mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Tag-Heuer/Formula-1-Quartz-41mm/waz1111.ba0875.html
,,Uni-Directional Rotating,,,39mm ,Stainless Steel,Round,11.85mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/HydroConquest-Automatic-39mm/L3.641.4.56.6.html
,,,,,33mm ,PVD,Round,5mm,,,,New/Unworn,Scratch Resistant Sapphire,White,,,,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-33mm/L4.709.1.91.2.html
,,Fixed,,,39mm ,Stainless Steel,Round,11.5mm,,,,New/Unworn,Scratch Resistant Sapphire,Silver,,,,Yes,300m/1000ft,https://www.prestigetime.com/item/Longines/Conquest-Automatic-39mm/L3.676.4.76.6.html
,,Fixed,,,40mm ,Stainless Steel,Round,8.2mm,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,100m/330ft,https://www.prestigetime.com/item/Maurice-Lacroix/Miros-Quartz-Date-Mens/mi1018-ss002-331.html
,,Uni-Directional Rotating,,,41mm ,Stainless Steel,Round,,,,,New/Unworn,Scratch Resistant Sapphire,Black,,,,Yes,200m/660ft,https://www.prestigetime.com/item/Tag-Heuer/Formula-1-Quartz-41mm/waz1110.ba0875.html
