Band Material,Band Name,Band Notes,Bezel,COSC Certified,Case Back,Case Dimensions,Case Material,Case Shape,Case Thickness,Clasp,Clasp Features,Clasp Notes,Color/Finish,Complications,Condition,Crystal,Dial Color,Edition,Lug Width,Movement,Screw-in Crown,Water Resistance,url
Stainless Steel,,,Fixed,,Solid,36mm ,Stainless Steel,Round,9.20mm,Push Button Folding Clasp,,,Brushed & Polished,,New/Unworn,Scratch Resistant Sapphire,Mother of Pearl,,,Quartz,Yes,300m,https://www.prestigetime.com/item/Longines/Conquest-Quartz-36mm/L3.378.4.87.6.html
Calfskin Leather,,,,,Solid,30mm ,Stainless Steel,Oval,,,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,14mm,Quartz,No,30m/99ft.,https://www.prestigetime.com/Longines-Equestrian-L6-137-4-71-2.html
Calfskin Leather,,,,,Solid,30mm ,Stainless Steel,Oval,,,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,14mm,Quartz,No,30m/99ft.,https://www.prestigetime.com/Longines-Equestrian-L6-137-4-73-2.html
Alligator/Crocodile Leather,,,,,Solid,36mm ,Stainless Steel,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,20mm,Quartz,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Quartz-36mm/L4.755.4.11.2.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,37mm ,Stainless Steel & Plated Rose Gold,Round,,Tang Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4331-07_5_18_10.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,37mm ,Stainless Steel & Plated Rose Gold,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Black,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4334-07_5_18_11.html
Stainless Steel,,,Fixed,,Solid,36mm ,Stainless Steel,Round,,Push Button Folding Clasp,,,Brushed & Polished,Chronograph,New/Unworn,Scratch Resistant Sapphire,Silver,,17mm,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-Chrono-36mm-L3-379-4-76-6.html
Stainless Steel,,,Fixed,,Solid,36mm ,Stainless Steel,Round,,Push Button Folding Clasp,,,Brushed & Polished,Chronograph,New/Unworn,Scratch Resistant Sapphire,Blue,,17mm,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-Chrono-36mm-L33794966.html
Stainless Steel,,,Fixed,,Solid,36mm ,Stainless Steel,Round,,Push Button Folding Clasp,,,Brushed & Polished,Chronograph,New/Unworn,Scratch Resistant Sapphire,Black,,17mm,Quartz,Yes,300m/1000ft,https://www.prestigetime.com/Longines-Conquest-Quartz-Chrono-36mm-L33794566.html
Stainless Steel,,,Fixed,,Solid,27mm ,Stainless Steel,Round,7.15mm,Push Button Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,Mother of Pearl,,,Quartz,No,50m/165ft,https://www.prestigetime.com/item/Raymond-Weil/Noemia/5127-st-00985.html
Calfskin Leather,,Alligator/Crocodile Print,,,Transparent,25.5mm ,Stainless Steel,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,13mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Presence-Automatic/L4.321.4.11.2.html
Calfskin Leather,,Alligator/Crocodile Print,,,Transparent,34.5mm ,Stainless Steel,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,18mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Presence-Automatic/L4.821.4.11.2.html
Calfskin Leather,,Alligator/Crocodile Print,,,Transparent,25.5mm ,Stainless Steel,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,13mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Presence-Automatic/L4.321.4.12.2.html
Calfskin Leather,,Alligator/Crocodile Print,,,Transparent,25.5mm ,Stainless Steel,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Silver,,13mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Presence-Automatic/L4.321.4.72.2.html
Calfskin Leather,,Alligator/Crocodile Print,,,Transparent,34.5mm ,Stainless Steel,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,White,,18mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Presence-Automatic/L4.821.4.12.2.html
Calfskin Leather,,Alligator/Crocodile Print,,,Transparent,34.5mm ,Stainless Steel,Round,,Tang Buckle,,,Black,,New/Unworn,Scratch Resistant Sapphire,Silver,,18mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Presence-Automatic/L4.821.4.72.2.html
Alligator/Crocodile Leather,,,Fixed,,Transparent,37mm ,Gold Plated,Round,,Tang Buckle,,,Brown,,New/Unworn,Scratch Resistant Sapphire,Silver,,,Automatic,No,50m/165ft,https://www.prestigetime.com/item/Oris/Classic-Date-37mm/01_733_7578_4831-07_6_18_10.html
Stainless Steel,,,,,Transparent,25.5mm ,Stainless Steel,Round,,Hidden Folding Clasp,,,Polished,,New/Unworn,Scratch Resistant Sapphire,White,,13mm,Automatic,No,30m/99ft.,https://www.prestigetime.com/item/Longines/La-Grande-Classique-Presence-Automatic/L4.321.4.18.6.html
